ID,Config,Phase,Color,Time,value,CSType
RS01,1,Pavlovian,Blue,first,2,CSplus
RS01,1,Pavlovian,Yellow,first,7,CSmin1
RS01,1,Pavlovian,Red,first,1,CSmin2
RS01,1,Pavlovian,Blue,last,1,CSplus
RS01,1,Pavlovian,Yellow,last,6,CSmin1
RS01,1,Pavlovian,Red,last,6,CSmin2
RS01,1,Extinction,Blue,first,1,CSplus
RS01,1,Extinction,Yellow,first,6,CSmin1
RS01,1,Extinction,Red,first,2,CSmin2
RS01,1,Extinction,Blue,last,1,CSplus
RS01,1,Extinction,Yellow,last,1,CSmin1
RS01,1,Extinction,Red,last,1,CSmin2
RS02,2,Pavlovian,Blue,first,3,CSmin2
RS02,2,Pavlovian,Yellow,first,6,CSmin1
RS02,2,Pavlovian,Red,first,2,CSplus
RS02,2,Pavlovian,Blue,last,7,CSmin2
RS02,2,Pavlovian,Yellow,last,7,CSmin1
RS02,2,Pavlovian,Red,last,1,CSplus
RS02,2,Extinction,Blue,first,6,CSmin2
RS02,2,Extinction,Yellow,first,6,CSmin1
RS02,2,Extinction,Red,first,1,CSplus
RS02,2,Extinction,Blue,last,5,CSmin2
RS02,2,Extinction,Yellow,last,5,CSmin1
RS02,2,Extinction,Red,last,5,CSplus
RS03,3,Pavlovian,Blue,first,3,CSmin1
RS03,3,Pavlovian,Yellow,first,3,CSmin2
RS03,3,Pavlovian,Red,first,2,CSplus
RS03,3,Pavlovian,Blue,last,6,CSmin1
RS03,3,Pavlovian,Yellow,last,6,CSmin2
RS03,3,Pavlovian,Red,last,1,CSplus
RS03,3,Extinction,Blue,first,5,CSmin1
RS03,3,Extinction,Yellow,first,5,CSmin2
RS03,3,Extinction,Red,first,2,CSplus
RS03,3,Extinction,Blue,last,7,CSmin1
RS03,3,Extinction,Yellow,last,6,CSmin2
RS03,3,Extinction,Red,last,7,CSplus
RS04,4,Pavlovian,Blue,first,4,CSmin1
RS04,4,Pavlovian,Yellow,first,4,CSplus
RS04,4,Pavlovian,Red,first,2,CSmin2
RS04,4,Pavlovian,Blue,last,6,CSmin1
RS04,4,Pavlovian,Yellow,last,1,CSplus
RS04,4,Pavlovian,Red,last,6,CSmin2
RS04,4,Extinction,Blue,first,5,CSmin1
RS04,4,Extinction,Yellow,first,3,CSplus
RS04,4,Extinction,Red,first,4,CSmin2
RS04,4,Extinction,Blue,last,3,CSmin1
RS04,4,Extinction,Yellow,last,3,CSplus
RS04,4,Extinction,Red,last,3,CSmin2
RS05,5,Pavlovian,Blue,first,4,CSplus
RS05,5,Pavlovian,Yellow,first,4,CSmin2
RS05,5,Pavlovian,Red,first,4,CSmin1
RS05,5,Pavlovian,Blue,last,1,CSplus
RS05,5,Pavlovian,Yellow,last,6,CSmin2
RS05,5,Pavlovian,Red,last,7,CSmin1
RS05,5,Extinction,Blue,first,5,CSplus
RS05,5,Extinction,Yellow,first,4,CSmin2
RS05,5,Extinction,Red,first,4,CSmin1
RS05,5,Extinction,Blue,last,7,CSplus
RS05,5,Extinction,Yellow,last,7,CSmin2
RS05,5,Extinction,Red,last,7,CSmin1
RS06,6,Pavlovian,Blue,first,2,CSmin2
RS06,6,Pavlovian,Yellow,first,2,CSplus
RS06,6,Pavlovian,Red,first,2,CSmin1
RS06,6,Pavlovian,Blue,last,7,CSmin2
RS06,6,Pavlovian,Yellow,last,1,CSplus
RS06,6,Pavlovian,Red,last,7,CSmin1
RS06,6,Extinction,Blue,first,2,CSmin2
RS06,6,Extinction,Yellow,first,2,CSplus
RS06,6,Extinction,Red,first,2,CSmin1
RS06,6,Extinction,Blue,last,7,CSmin2
RS06,6,Extinction,Yellow,last,7,CSplus
RS06,6,Extinction,Red,last,7,CSmin1
RS07,1,Pavlovian,Blue,first,3,CSplus
RS07,1,Pavlovian,Yellow,first,4,CSmin1
RS07,1,Pavlovian,Red,first,3,CSmin2
RS07,1,Pavlovian,Blue,last,1,CSplus
RS07,1,Pavlovian,Yellow,last,7,CSmin1
RS07,1,Pavlovian,Red,last,6,CSmin2
RS07,1,Extinction,Blue,first,1,CSplus
RS07,1,Extinction,Yellow,first,3,CSmin1
RS07,1,Extinction,Red,first,6,CSmin2
RS07,1,Extinction,Blue,last,6,CSplus
RS07,1,Extinction,Yellow,last,7,CSmin1
RS07,1,Extinction,Red,last,7,CSmin2
RS08,2,Pavlovian,Blue,first,3,CSmin2
RS08,2,Pavlovian,Yellow,first,3,CSmin1
RS08,2,Pavlovian,Red,first,2,CSplus
RS08,2,Pavlovian,Blue,last,6,CSmin2
RS08,2,Pavlovian,Yellow,last,6,CSmin1
RS08,2,Pavlovian,Red,last,1,CSplus
RS08,2,Extinction,Blue,first,3,CSmin2
RS08,2,Extinction,Yellow,first,2,CSmin1
RS08,2,Extinction,Red,first,5,CSplus
RS08,2,Extinction,Blue,last,6,CSmin2
RS08,2,Extinction,Yellow,last,6,CSmin1
RS08,2,Extinction,Red,last,6,CSplus
RS09,3,Pavlovian,Blue,first,7,CSmin1
RS09,3,Pavlovian,Yellow,first,4,CSmin2
RS09,3,Pavlovian,Red,first,2,CSplus
RS09,3,Pavlovian,Blue,last,7,CSmin1
RS09,3,Pavlovian,Yellow,last,7,CSmin2
RS09,3,Pavlovian,Red,last,1,CSplus
RS09,3,Extinction,Blue,first,6,CSmin1
RS09,3,Extinction,Yellow,first,6,CSmin2
RS09,3,Extinction,Red,first,2,CSplus
RS09,3,Extinction,Blue,last,7,CSmin1
RS09,3,Extinction,Yellow,last,7,CSmin2
RS09,3,Extinction,Red,last,7,CSplus
RS10,4,Pavlovian,Blue,first,4,CSmin1
RS10,4,Pavlovian,Yellow,first,2,CSplus
RS10,4,Pavlovian,Red,first,4,CSmin2
RS10,4,Pavlovian,Blue,last,7,CSmin1
RS10,4,Pavlovian,Yellow,last,1,CSplus
RS10,4,Pavlovian,Red,last,7,CSmin2
RS10,4,Extinction,Blue,first,4,CSmin1
RS10,4,Extinction,Yellow,first,3,CSplus
RS10,4,Extinction,Red,first,4,CSmin2
RS10,4,Extinction,Blue,last,7,CSmin1
RS10,4,Extinction,Yellow,last,7,CSplus
RS10,4,Extinction,Red,last,7,CSmin2
RS11,5,Pavlovian,Blue,first,4,CSplus
RS11,5,Pavlovian,Yellow,first,4,CSmin2
RS11,5,Pavlovian,Red,first,4,CSmin1
RS11,5,Pavlovian,Blue,last,1,CSplus
RS11,5,Pavlovian,Yellow,last,7,CSmin2
RS11,5,Pavlovian,Red,last,7,CSmin1
RS11,5,Extinction,Blue,first,2,CSplus
RS11,5,Extinction,Yellow,first,6,CSmin2
RS11,5,Extinction,Red,first,6,CSmin1
RS11,5,Extinction,Blue,last,7,CSplus
RS11,5,Extinction,Yellow,last,7,CSmin2
RS11,5,Extinction,Red,last,7,CSmin1
RS12,6,Pavlovian,Blue,first,4,CSmin2
RS12,6,Pavlovian,Yellow,first,4,CSplus
RS12,6,Pavlovian,Red,first,4,CSmin1
RS12,6,Pavlovian,Blue,last,7,CSmin2
RS12,6,Pavlovian,Yellow,last,1,CSplus
RS12,6,Pavlovian,Red,last,7,CSmin1
RS12,6,Extinction,Blue,first,2,CSmin2
RS12,6,Extinction,Yellow,first,3,CSplus
RS12,6,Extinction,Red,first,2,CSmin1
RS12,6,Extinction,Blue,last,6,CSmin2
RS12,6,Extinction,Yellow,last,6,CSplus
RS12,6,Extinction,Red,last,6,CSmin1
RS13,1,Pavlovian,Blue,first,4,CSplus
RS13,1,Pavlovian,Yellow,first,4,CSmin1
RS13,1,Pavlovian,Red,first,2,CSmin2
RS13,1,Pavlovian,Blue,last,2,CSplus
RS13,1,Pavlovian,Yellow,last,6,CSmin1
RS13,1,Pavlovian,Red,last,7,CSmin2
RS13,1,Extinction,Blue,first,3,CSplus
RS13,1,Extinction,Yellow,first,3,CSmin1
RS13,1,Extinction,Red,first,2,CSmin2
RS13,1,Extinction,Blue,last,7,CSplus
RS13,1,Extinction,Yellow,last,7,CSmin1
RS13,1,Extinction,Red,last,7,CSmin2
RS14,2,Pavlovian,Blue,first,6,CSmin2
RS14,2,Pavlovian,Yellow,first,6,CSmin1
RS14,2,Pavlovian,Red,first,1,CSplus
RS14,2,Pavlovian,Blue,last,7,CSmin2
RS14,2,Pavlovian,Yellow,last,7,CSmin1
RS14,2,Pavlovian,Red,last,1,CSplus
RS14,2,Extinction,Blue,first,6,CSmin2
RS14,2,Extinction,Yellow,first,6,CSmin1
RS14,2,Extinction,Red,first,1,CSplus
RS14,2,Extinction,Blue,last,3,CSmin2
RS14,2,Extinction,Yellow,last,7,CSmin1
RS14,2,Extinction,Red,last,3,CSplus
RS15,3,Pavlovian,Blue,first,3,CSmin1
RS15,3,Pavlovian,Yellow,first,2,CSmin2
RS15,3,Pavlovian,Red,first,1,CSplus
RS15,3,Pavlovian,Blue,last,2,CSmin1
RS15,3,Pavlovian,Yellow,last,6,CSmin2
