SUBJ_ID	#TRIAL_FLOW	trial_counter	T.CSM	T.CS_EE	T.CS_UU	ReliefChoiceCS	ReliefCS
RS01	Pavlovian_phase	1	0	1	0	1	0
RS01	Pavlovian_phase	2	1	0	0	2	76
RS01	Pavlovian_phase	3	0	1	0	1	0
RS01	Pavlovian_phase	4	0	1	0	1	0
RS01	Pavlovian_phase	5	1	0	0	2	79
RS01	Pavlovian_phase	6	0	1	0	1	0
RS01	Pavlovian_phase	7	1	0	0	2	84
RS01	Pavlovian_phase	8	1	0	0	2	87
RS01	Pavlovian_phase	9	0	0	1	1	0
RS01	Pavlovian_phase	10	0	0	1	1	0
RS01	Pavlovian_phase	11	0	1	0	1	0
RS01	Pavlovian_phase	12	0	1	0	2	19
RS01	Pavlovian_phase	13	0	0	1	1	0
RS01	Pavlovian_phase	14	1	0	0	2	87
RS01	Pavlovian_phase	15	0	0	1	2	69
RS01	Pavlovian_phase	16	0	1	0	2	4
RS01	Pavlovian_phase	17	0	1	0	1	0
RS01	Pavlovian_phase	18	1	0	0	2	87
RS01	Pavlovian_phase	19	0	1	0	2	11
RS01	Pavlovian_phase	20	0	0	1	2	89
RS01	Pavlovian_phase	21	1	0	0	2	96
RS01	Pavlovian_phase	22	0	0	1	2	92
RS01	Pavlovian_phase	23	0	1	0	2	44
RS01	Pavlovian_phase	24	0	1	0	1	0
RS01	Pavlovian_phase	25	1	0	0	2	88
RS01	Pavlovian_phase	26	0	0	1	2	92
RS01	Pavlovian_phase	27	0	1	0	1	0
RS01	Pavlovian_phase	28	0	0	1	2	94
RS01	Extinction_phase	29	0	1	0	1	0
RS01	Extinction_phase	30	0	0	1	1	0
RS01	Extinction_phase	31	0	0	1	1	0
RS01	Extinction_phase	32	0	1	0	1	0
RS01	Extinction_phase	33	0	1	0	1	0
RS01	Extinction_phase	34	0	0	1	1	0
RS01	Extinction_phase	35	1	0	0	1	0
RS01	Extinction_phase	36	0	1	0	2	19
RS01	Extinction_phase	37	1	0	0	2	66
RS01	Extinction_phase	38	0	0	1	1	0
RS01	Extinction_phase	39	1	0	0	2	47
RS01	Extinction_phase	40	0	1	0	1	0
RS01	Extinction_phase	41	0	0	1	1	0
RS01	Extinction_phase	42	0	1	0	1	0
RS01	Extinction_phase	43	1	0	0	1	0
RS01	Extinction_phase	44	0	1	0	1	0
RS01	Extinction_phase	45	1	0	0	1	0
RS01	Extinction_phase	46	0	1	0	1	0
RS02	Pavlovian_phase	1	1	0	0	1	0
RS02	Pavlovian_phase	2	1	0	0	2	84
RS02	Pavlovian_phase	3	0	1	0	1	0
RS02	Pavlovian_phase	4	0	1	0	1	0
RS02	Pavlovian_phase	5	1	0	0	2	98
RS02	Pavlovian_phase	6	0	1	0	1	0
RS02	Pavlovian_phase	7	1	0	0	2	96
RS02	Pavlovian_phase	8	0	1	0	1	0
RS02	Pavlovian_phase	9	0	1	0	1	0
RS02	Pavlovian_phase	10	0	0	1	1	0
