SUBJ_ID	#TRIAL_FLOW	trial_counter	ReliefChoiceUS	ReliefUS	T.CSM	T.CS_EE	T.CS_UU	shock
RS01	Pavlovian_phase	1	2	49	0	1	0	1
RS01	Pavlovian_phase	2	2	96	1	0	0	0
RS01	Pavlovian_phase	3	1	0	0	1	0	1
RS01	Pavlovian_phase	4	2	27	0	1	0	1
RS01	Pavlovian_phase	5	2	95	1	0	0	0
RS01	Pavlovian_phase	6	2	31	0	1	0	1
RS01	Pavlovian_phase	7	2	99	1	0	0	0
RS01	Pavlovian_phase	8	2	99	1	0	0	0
RS01	Pavlovian_phase	9	2	99	0	0	1	0
RS01	Pavlovian_phase	10	2	100	0	0	1	0
RS01	Pavlovian_phase	11	1	0	0	1	0	1
RS01	Pavlovian_phase	12	1	0	0	1	0	1
RS01	Pavlovian_phase	13	2	100	0	0	1	0
RS01	Pavlovian_phase	14	2	94	1	0	0	0
RS01	Pavlovian_phase	15	2	97	0	0	1	0
RS01	Pavlovian_phase	16	1	0	0	1	0	1
RS01	Pavlovian_phase	17	2	19	0	1	0	1
RS01	Pavlovian_phase	18	2	95	1	0	0	0
RS01	Pavlovian_phase	19	1	0	0	1	0	1
RS01	Pavlovian_phase	20	2	100	0	0	1	0
RS01	Pavlovian_phase	21	2	100	1	0	0	0
RS01	Pavlovian_phase	22	2	100	0	0	1	0
RS01	Pavlovian_phase	23	2	30	0	1	0	1
RS01	Pavlovian_phase	24	2	38	0	1	0	1
RS01	Pavlovian_phase	25	2	99	1	0	0	0
RS01	Pavlovian_phase	26	2	99	0	0	1	0
RS01	Pavlovian_phase	27	2	41	0	1	0	1
RS01	Pavlovian_phase	28	2	100	0	0	1	0
RS01	Extinction_phase	29	2	95	0	1	0	0
RS01	Extinction_phase	30	2	99	0	0	1	0
RS01	Extinction_phase	31	2	99	0	0	1	0
RS01	Extinction_phase	32	2	86	0	1	0	0
RS01	Extinction_phase	33	2	89	0	1	0	0
RS01	Extinction_phase	34	2	97	0	0	1	0
RS01	Extinction_phase	35	2	99	1	0	0	0
RS01	Extinction_phase	36	1	0	0	1	0	0
RS01	Extinction_phase	37	2	77	1	0	0	0
RS01	Extinction_phase	38	2	56	0	0	1	0
RS01	Extinction_phase	39	2	61	1	0	0	0
RS01	Extinction_phase	40	1	0	0	1	0	0
RS01	Extinction_phase	41	2	35	0	0	1	0
RS01	Extinction_phase	42	1	0	0	1	0	0
RS01	Extinction_phase	43	2	26	1	0	0	0
RS01	Extinction_phase	44	1	0	0	1	0	0
RS01	Extinction_phase	45	1	0	1	0	0	0
RS01	Extinction_phase	46	1	0	0	1	0	0
RS02	Pavlovian_phase	1	1	0	1	0	0	0
RS02	Pavlovian_phase	2	2	96	1	0	0	0
RS02	Pavlovian_phase	3	2	58	0	1	0	1
RS02	Pavlovian_phase	4	2	75	0	1	0	1
